1,1,たいあたり
1,3,なきごえ
1,7,やどりぎのタネ
1,9,つるのムチ
1,13,どくのこな
1,13,ねむりごな
1,15,とっしん
1,19,はっぱカッター
1,21,あまいかおり
1,25,せいちょう
1,27,すてみタックル
1,31,なやみのタネ
1,33,こうごうせい
1,37,タネばくだん
2,1,たいあたり
2,1,なきごえ
2,1,やどりぎのタネ
2,3,なきごえ
2,7,やどりぎのタネ
2,9,つるのムチ
2,13,どくのこな
2,13,ねむりごな
2,15,とっしん
2,20,はっぱカッター
2,23,あまいかおり
2,28,せいちょう
2,31,すてみタックル
2,36,なやみのタネ
2,39,こうごうせい
2,44,ソーラービーム
3,1,たいあたり
3,1,つるのムチ
3,1,なきごえ
3,1,やどりぎのタネ
3,3,なきごえ
3,7,やどりぎのタネ
3,9,つるのムチ
3,13,どくのこな
3,13,ねむりごな
3,15,とっしん
3,20,はっぱカッター
3,23,あまいかおり
3,28,せいちょう
3,31,すてみタックル
3,32,はなびらのまい
3,39,なやみのタネ
3,45,こうごうせい
3,53,ソーラービーム
4,1,なきごえ
4,1,ひっかく
4,7,ひのこ
4,10,えんまく
4,16,りゅうのいかり
4,19,こわいかお
4,25,ほのおのキバ
4,28,はじけるほのお
4,34,きりさく
4,37,かえんほうしゃ
4,43,ほのおのうず
4,46,れんごく
5,1,なきごえ
5,1,ひっかく
5,1,ひのこ
5,7,ひのこ
5,10,えんまく
5,17,りゅうのいかり
5,21,こわいかお
5,28,ほのおのキバ
5,32,はじけるほのお
5,39,きりさく
5,43,かえんほうしゃ
5,50,ほのおのうず
5,54,れんごく
6,1,エアスラッシュ
6,1,えんまく
6,1,シャドークロー
6,1,ドラゴンクロー
6,1,なきごえ
6,1,ひっかく
6,1,ひのこ
6,7,ひのこ
6,10,えんまく
6,17,りゅうのいかり
6,21,こわいかお
6,28,ほのおのキバ
6,32,はじけるほのお
6,36,つばさでうつ
6,41,きりさく
6,47,かえんほうしゃ
6,56,ほのおのうず
6,62,れんごく
6,71,ねっぷう
6,77,フレアドライブ
7,1,たいあたり
7,4,しっぽをふる
7,7,あわ
7,10,からにこもる
7,13,みずでっぽう
7,16,かみつく
7,19,こうそくスピン
7,22,まもる
7,25,みずのはどう
7,28,アクアテール
7,31,ロケットずつき
7,34,てっぺき
7,37,あまごい
7,40,ハイドロポンプ
8,1,あわ
8,1,しっぽをふる
8,1,たいあたり
8,4,しっぽをふる
8,7,あわ
8,10,からにこもる
8,13,みずでっぽう
8,16,かみつく
8,20,こうそくスピン
8,24,まもる
8,28,みずのはどう
8,32,アクアテール
8,36,ロケットずつき
8,40,てっぺき
8,44,あまごい
8,48,ハイドロポンプ
9,1,あわ
9,1,からにこもる
9,1,しっぽをふる
9,1,たいあたり
9,1,ラスターカノン
9,4,しっぽをふる
9,7,あわ
9,10,からにこもる
9,13,みずでっぽう
9,16,かみつく
9,20,こうそくスピン
9,24,まもる
9,28,みずのはどう
9,32,アクアテール
9,39,ロケットずつき
9,46,てっぺき
9,53,あまごい
9,60,ハイドロポンプ
10,1,いとをはく
10,1,たいあたり
10,15,むしくい
11,1,かたくなる
11,7,かたくなる
12,1,ねんりき
12,10,ねんりき
12,12,しびれごな
12,12,どくのこな
12,12,ねむりごな
12,16,かぜおこし
12,18,ちょうおんぱ
12,22,ふきとばし
12,24,サイケこうせん
12,28,ぎんいろのかぜ
12,30,おいかぜ
12,34,いかりのこな
12,36,しんぴのまもり
