1,かいじゅう,しょくぶつ,5120歩
2,かいじゅう,しょくぶつ,5120歩
3,かいじゅう,しょくぶつ,5120歩
4,かいじゅう,ドラゴン,5120歩
5,かいじゅう,ドラゴン,5120歩
6,かいじゅう,ドラゴン,5120歩
7,かいじゅう,すいちゅう1,5120歩
8,かいじゅう,すいちゅう1,5120歩
9,かいじゅう,すいちゅう1,5120歩
10,むし, ,3840歩
11,むし, ,3840歩
12,むし, ,3840歩
13,むし, ,3840歩
14,むし, ,3840歩
15,むし, ,3840歩
16,ひこう, ,3840歩
17,ひこう, ,3840歩
18,ひこう, ,3840歩
19,りくじょう, ,3840歩
20,りくじょう, ,3840歩
21,ひこう, ,3840歩
22,ひこう, ,3840歩
23,りくじょう,ドラゴン,5120歩
24,りくじょう,ドラゴン,5120歩
25,りくじょう,ようせい,2560歩
26,りくじょう,ようせい,2560歩
27,りくじょう, ,5120歩
28,りくじょう, ,5120歩
29,かいじゅう,りくじょう,5120歩
30,みはっけん, ,5120歩
31,みはっけん, ,5120歩
32,かいじゅう,りくじょう,5120歩
33,かいじゅう,りくじょう,5120歩
34,かいじゅう,りくじょう,5120歩
35,ようせい, ,2560歩
36,ようせい, ,2560歩
37,りくじょう, ,5120歩
38,りくじょう, ,5120歩
39,ようせい, ,2560歩
40,ようせい, ,2560歩
41,ひこう, ,3840歩
42,ひこう, ,3840歩
43,しょくぶつ, ,5120歩
44,しょくぶつ, ,5120歩
45,しょくぶつ, ,5120歩
46,むし,しょくぶつ,5120歩
47,むし,しょくぶつ,5120歩
48,むし, ,5120歩
49,むし, ,5120歩
50,りくじょう, ,5120歩
51,りくじょう, ,5120歩
52,りくじょう, ,5120歩
53,りくじょう, ,5120歩
54,すいちゅう1,りくじょう,5120歩
55,すいちゅう1,りくじょう,5120歩
56,りくじょう, ,5120歩
57,りくじょう, ,5120歩
58,りくじょう, ,5120歩
59,りくじょう, ,5120歩
60,すいちゅう1, ,5120歩
61,すいちゅう1, ,5120歩
62,すいちゅう1, ,5120歩
63,ひとがた, ,5120歩
64,ひとがた, ,5120歩
65,ひとがた, ,5120歩
66,ひとがた, ,5120歩
67,ひとがた, ,5120歩
68,ひとがた, ,5120歩
69,しょくぶつ, ,5120歩
70,しょくぶつ, ,5120歩
71,しょくぶつ, ,5120歩
72,すいちゅう3, ,5120歩
73,すいちゅう3, ,5120歩
74,こうぶつ, ,3840歩
75,こうぶつ, ,3840歩
76,こうぶつ, ,3840歩
77,りくじょう, ,5120歩
78,りくじょう, ,5120歩
79,かいじゅう,すいちゅう1,5120歩
80,かいじゅう,すいちゅう1,5120歩
81,こうぶつ, ,5120歩
82,こうぶつ, ,5120歩
83,ひこう,りくじょう,5120歩
84,ひこう, ,5120歩
85,ひこう, ,5120歩
86,すいちゅう1,りくじょう,5120歩
87,すいちゅう1,りくじょう,5120歩
88,ふていけい, ,5120歩
89,ふていけい, ,5120歩
90,すいちゅう3, ,5120歩
91,すいちゅう3, ,5120歩
92,ふていけい, ,5120歩
93,ふていけい, ,5120歩
94,ふていけい, ,5120歩
95,こうぶつ, ,6400歩
96,ひとがた, ,5120歩
97,ひとがた, ,5120歩
98,すいちゅう3, ,5120歩
99,すいちゅう3, ,5120歩
100,こうぶつ, ,5120歩
101,こうぶつ, ,5120歩
102,しょくぶつ, ,5120歩
103,しょくぶつ, ,5120歩
104,かいじゅう, ,5120歩
105,かいじゅう, ,5120歩
106,ひとがた, ,6400歩
107,ひとがた, ,6400歩
108,かいじゅう, ,5120歩
109,ふていけい, ,5120歩
110,ふていけい, ,5120歩
111,かいじゅう,りくじょう,5120歩
112,かいじゅう,りくじょう,5120歩
113,ようせい, ,10240歩
114,しょくぶつ, ,5120歩
115,かいじゅう, ,5120歩
116,すいちゅう1,ドラゴン,5120歩
117,すいちゅう1,ドラゴン,5120歩
118,すいちゅう2, ,5120歩
119,すいちゅう2, ,5120歩
120,すいちゅう3, ,5120歩
121,すいちゅう3, ,5120歩
122,ひとがた, ,6400歩
123,むし, ,6400歩
124,ひとがた, ,6400歩
125,ひとがた, ,6400歩
126,ひとがた, ,6400歩
127,むし, ,6400歩
128,りくじょう, ,5120歩
129,すいちゅう2,ドラゴン,1280歩
130,すいちゅう2,ドラゴン,1280歩
131,かいじゅう,すいちゅう1,10240歩
132,メタモン, ,5120歩
133,りくじょう, ,8960歩
134,りくじょう, ,8960歩
135,りくじょう, ,8960歩
136,りくじょう, ,8960歩
137,こうぶつ, ,5120歩
138,すいちゅう1,すいちゅう3,7680歩
139,すいちゅう1,すいちゅう3,7680歩
140,すいちゅう1,すいちゅう3,7680歩
141,すいちゅう1,すいちゅう3,7680歩
142,ひこう, ,8960歩
143,かいじゅう, ,10240歩
144,みはっけん, ,20480歩
145,みはっけん, ,20480歩
146,みはっけん, ,20480歩
147,すいちゅう1,ドラゴン,10240歩
148,すいちゅう1,ドラゴン,10240歩
149,すいちゅう1,ドラゴン,10240歩
150,みはっけん, ,30720歩
151,みはっけん, ,30720歩
152,かいじゅう,しょくぶつ,5120歩
153,かいじゅう,しょくぶつ,5120歩
154,かいじゅう,しょくぶつ,5120歩
155,りくじょう, ,5120歩
156,りくじょう, ,5120歩
157,りくじょう, ,5120歩
158,かいじゅう,すいちゅう1,5120歩
159,かいじゅう,すいちゅう1,5120歩
160,かいじゅう,すいちゅう1,5120歩
161,りくじょう, ,3840歩
162,りくじょう, ,3840歩
163,ひこう, ,3840歩
164,ひこう, ,3840歩
165,むし, ,3840歩
166,むし, ,3840歩
167,むし, ,3840歩
168,むし, ,3840歩
169,ひこう, ,3840歩
170,すいちゅう2, ,5120歩
