1,技.06,どくどく
1,技.09,タネマシンガン
1,技.10,めざめるパワー
1,技.11,にほんばれ
1,技.17,まもる
1,技.19,ギガドレイン
1,技.21,やつあたり
1,技.22,ソーラービーム
1,技.27,おんがえし
1,技.32,かげぶんしん
1,技.36,ヘドロばくだん
1,技.42,からげんき
1,技.43,ひみつのちから
1,技.44,ねむる
1,技.45,メロメロ
1,技.53,エナジーボール
1,技.58,こらえる
1,技.70,フラッシュ
1,技.75,つるぎのまい
1,技.78,ゆうわく
1,技.82,ねごと
1,技.83,しぜんのめぐみ
1,技.86,くさむすび
1,技.87,いばる
1,技.90,みがわり
1,秘.01,いあいぎり
1,秘.04,かいりき
1,秘.06,いわくだき
2,技.06,どくどく
2,技.09,タネマシンガン
2,技.10,めざめるパワー
2,技.11,にほんばれ
2,技.17,まもる
2,技.19,ギガドレイン
2,技.21,やつあたり
2,技.22,ソーラービーム
2,技.27,おんがえし
2,技.32,かげぶんしん
2,技.36,ヘドロばくだん
2,技.42,からげんき
2,技.43,ひみつのちから
2,技.44,ねむる
2,技.45,メロメロ
2,技.53,エナジーボール
2,技.58,こらえる
2,技.70,フラッシュ
2,技.75,つるぎのまい
2,技.78,ゆうわく
2,技.82,ねごと
2,技.83,しぜんのめぐみ
2,技.86,くさむすび
2,技.87,いばる
2,技.90,みがわり
2,秘.01,いあいぎり
2,秘.04,かいりき
2,秘.06,いわくだき
3,技.05,ほえる
3,技.06,どくどく
3,技.09,タネマシンガン
3,技.10,めざめるパワー
3,技.11,にほんばれ
3,技.15,はかいこうせん
3,技.17,まもる
3,技.19,ギガドレイン
3,技.21,やつあたり
3,技.22,ソーラービーム
3,技.26,じしん
3,技.27,おんがえし
3,技.32,かげぶんしん
3,技.36,ヘドロばくだん
3,技.42,からげんき
3,技.43,ひみつのちから
3,技.44,ねむる
3,技.45,メロメロ
3,技.53,エナジーボール
3,技.58,こらえる
3,技.68,ギガインパクト
3,技.70,フラッシュ
3,技.75,つるぎのまい
3,技.78,ゆうわく
3,技.82,ねごと
3,技.83,しぜんのめぐみ
3,技.86,くさむすび
